State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
4534,108836,94.6467078,500,500,M,BCB,OU,No,No
4535,108843,94.6467078,500,500,M,OC,AU,No,No
4536,108852,94.6467078,500,500,F,BCB,OU,No,No
4537,108855,94.6467078,500,500,F,OC,OU,No,No
4538,108872,94.6467078,500,500,F,OC,AU,No,No
4539,108937,94.6467078,500,500,F,BCB,NL,No,No
4540,108984,94.6467078,500,500,F,BCB,OU,No,No
4541,109138,94.6012354,499,499,M,BCA,AU,No,No
4542,109158,94.6012354,499,499,M,ST,OU,No,No
4543,109168,94.6012354,499,499,F,SC,OU,No,No
4544,109172,94.6012354,499,499,F,BCB,OU,No,MSM
4545,109189,94.6012354,499,499,F,BCA,AU,No,No
4546,109192,94.6012354,499,499,F,BCB,AU,No,No
4547,109193,94.6012354,499,499,F,BCB,OU,No,No
4548,109199,94.6012354,499,499,F,OC,OU,No,No
4549,109201,94.6012354,499,499,M,SC,SVU,No,No
4550,109204,94.6012354,499,499,M,BCA,AU,No,No
4551,109206,94.6012354,499,499,F,BCD,AU,No,No
4552,109216,94.6012354,499,499,F,BCD,OU,No,No
4553,109225,94.6012354,499,499,M,OC,AU,No,No
4554,109237,94.6012354,499,499,M,BCB,OU,No,No
4555,109241,94.6012354,499,499,M,BCE,OU,No,MSM
4556,109245,94.6012354,499,499,F,BCB,OU,No,No
4557,109249,94.6012354,499,499,M,BCD,SVU,No,No
4558,109253,94.6012354,499,499,F,BCB,OU,No,No
4559,109257,94.6012354,499,499,F,OC,OU,No,No
4560,109259,94.6012354,499,499,M,OC,NL,No,No
4561,109262,94.6012354,499,499,M,BCB,AU,No,No
4562,109263,94.6012354,499,499,M,BCB,AU,No,No
4563,109266,94.6012354,499,499,F,BCD,AU,No,No
4564,109271,94.6012354,499,499,F,OC,OU,No,No
4565,109278,94.6012354,499,499,M,ST,OU,No,No
4566,109281,94.6012354,499,499,F,BCA,AU,No,No
4567,109294,94.6012354,499,499,F,BCD,AU,No,No
4568,109320,94.6012354,499,499,M,SC,OU,No,No
4569,109322,94.6012354,499,499,F,OC,AU,No,No
4570,109336,94.6012354,499,499,F,OC,OU,No,No
4571,109348,94.6012354,499,499,F,OC,AU,No,No
4572,109356,94.6012354,499,499,M,BCD,OU,No,No
4573,109362,94.6012354,499,499,F,BCB,OU,No,No
4574,109371,94.6012354,499,499,M,BCB,OU,No,No
4575,109404,94.6012354,499,499,F,OC,NL,No,No
