COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",596481,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",76064,SVU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",78214,AU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",78626,AU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",79027,AU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",81557,NL,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",85748,NL,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",88241,NL,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",90170,NL,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",126702,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",151292,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",152992,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",156921,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",157129,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",159635,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",164155,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",165464,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",172898,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",175711,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",177852,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",177933,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",178922,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",178950,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",179619,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180399,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180401,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",182235,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",183433,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",189298,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",190511,OU,BCB,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",191801,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192038,OU,OC,M,MSM,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192174,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192339,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",193154,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",194474,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196010,OU,BCB,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196361,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197085,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197455,OU,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197495,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197536,OU,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",198704,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",198727,OU,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199052,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199138,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199489,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",200744,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202050,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202323,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202854,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",204276,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",205846,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",428534,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",433965,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",452800,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",455964,OU,BCD,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",460650,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",475145,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",481287,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",501007,AU,BCD,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",540321,,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",550934,OU,ST,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",569106,OU,BCB,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",641922,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",644316,AU,BCB,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",647730,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",667965,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668230,OU,SC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668642,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",672377,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",712207,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734217,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734305,OU,BCB,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",742875,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",816540,OU,OC,F,,NRI,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",75381,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",77883,,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",78216,AU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",86663,SVU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",88864,AU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",93734,NL,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",93902,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",95847,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",98897,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",99497,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",99741,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",158148,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",182090,OU,BCB,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",187975,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",189349,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",191343,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",202664,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",202786,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",208376,OU,BCE,F,MSM,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",214527,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",218302,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",219794,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",226633,OU,BCB,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",227028,OU,BCE,M,MSM,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",228460,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",228711,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",230042,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",230448,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",231379,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",232879,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",236132,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",239467,OU,OC,M,,,,,P1
